Sample_ID	dry.weight.cob	dry.weight.plant	dry.weight.shoot	fresh.weight.cob	fresh.weight.shoot	stem.length	total.leaf.number
RT_175H	0	3.2	3.2	0	22	16	8
RT_176H	0	2.9	2.9	0	19.6	13	7
RT_177H	0	2.5	2.5	0	16.5	13.5	8
RT_178H	0	6.8	6.8	0	43	13	10
RT_179H	0	2	2	0	12	11.5	8
RT_17H	0	33	33	0	199.9	43	14
RT_180H	0	6.9	6.9	0	47.7	20	9
RT_181H	0	21.29	21.29	0	141.9	27	11
RT_182H	0	11.51	11.51	0	79.3	22	10
RT_183H	0	21.62	21.62	0	138.1	23	12
RT_185H	0	38.94	38.94	0	202.6	29.5	11
RT_186H	0	33.48	33.48	0	163.5	27	11
RT_187H	0	39.28	39.28	0	199.5	44	10
RT_188H	0	64.51	64.51	0	295.2	55	10
RT_189H	0	59.47	59.47	0	303.7	54	11
RT_18H	0	76.9	76.9	0	377.2	40	14
RT_190H	0	20.03	20.03	0	123.9	39	10
RT_191H	0	65.88	65.88	0	346.6	59	11
RT_192H	0	95.34	95.34	0	316	61	10
RT_193H	0	42.9	42.9	0	269	37	13
RT_194H	0	58.35	58.35	0	333.9	45	13
RT_195H	0	43.67	43.67	0	249.1	53	14
RT_196H	0	51.14	51.14	0	315.1	51	13
RT_197H	0	24.47	24.47	0	179.3	40	13
RT_198H	0	37.86	37.86	0	196.2	41	12
RT_199H	0	70.89	70.89	0	408.6	62	11
RT_19H	0	4.8	4.8	0	37.5	17	9
RT_1H	0	20.7	20.7	0	131	26	14
RT_200H	0	36.98	36.98	0	213.4	44	12
RT_201H	0	39.9	39.9	0	236.6	62	12
RT_202H	0	51.26	51.26	0	281	52	12
RT_203H	0	46.18	46.18	0	259.9	39	10
RT_204H	0	67.01	67.01	0	307.3	53	12
RT_206H	0	1.1	1.1	0	8.8	8	7
RT_208H	0	0.32	0.32	0	10.2	9.5	8
RT_209H	0	4.92	4.92	0	43.1	11.5	10
RT_20H	0	10.1	10.1	0	78.2	26	11
RT_210H	0	2.64	2.64	0	25.8	12	8
RT_211H	0	19.3	19.3	0	144.6	33	13
RT_212H	0	8.9	8.9	0	61.5	21	10
RT_213H	0	39.8	39.8	0	286.6	37	13
RT_214H	0	10.2	10.2	0	65.1	21	12
RT_215H	0	36.5	36.5	0	247	36	13
RT_216H	0	24.7	24.7	0	150.1	28	12
RT_217H	0	46	46	0	351.3	57	10
RT_21H	0	7.9	7.9	0	56	24	11
RT_220H	0	11.5	11.5	0	84.1	27	9
RT_221H	0	40.9	40.9	0	293.2	50	10
RT_222H	0	38.7	38.7	0	304.2	50	10
RT_223H	0	29	29	0	180.5	29	15
RT_224H	0	21.7	21.7	0	147.2	25.5	10
RT_226H	0	50.5	50.5	0	317.5	46	14
RT_227H	0	52	52	0	307.6	56	13
RT_22H	0	21.5	21.5	0	137	29	11
RT_233H	0	21.8	21.8	0	140.7	50	14
RT_234H	0	25.4	25.4	0	172.7	43	12
RT_236H	0	1.1	1.1	0	7.5	7.5	8
RT_237H	0	1.1	1.1	0	7.5	9	9
RT_238H	0	2.8	2.8	0	19.4	13	8
RT_23H	0	9	9	0	79.5	27	10
