Stage	Management	Genotype_1	Genotype_2	p_value	Fold_change	Meta	Sig	FDR	Sig_FDR
VG	NPK	B73	pht1;6	0.0380559209998678	-1.05400997567833	TAG.52.1	TRUE	0.0946601060164779	FALSE
VG	NPK	B73	pht1;6	0.0952380952380952	-1.04249317741972	TAG.52.0	FALSE	0.162950729424718	FALSE
VG	NPK	B73	pht1;6	0.0238095238095238	1.05754433334204	TAG.54.9	TRUE	0.0686456400742116	FALSE
VG	NPK	B73	pht1;6	0.0952380952380952	1.02130806309941	TAG.54.8	FALSE	0.162950729424718	FALSE
VG	NPK	B73	pht1;6	0.0238095238095238	1.02516244527624	TAG.54.5	TRUE	0.0686456400742116	FALSE
VG	NPK	B73	pht1;6	0.261904761904762	1.00892276187621	TAG.54.4	FALSE	0.380018674136321	FALSE
VG	NPK	B73	pht1;6	0.714285714285714	-1.00490118744551	TAG.54.3	FALSE	0.79484425349087	FALSE
VG	NPK	B73	pht1;6	1	1.00462897900252	TAG.56.7	FALSE	1	FALSE
VG	NPK	B73	pht1;6	0.261904761904762	-1.02149202127881	TAG.56.3	FALSE	0.380018674136321	FALSE
VG	NPK	B73	pht1;6	0.166666666666667	-1.03653434920527	TAG.56.2	FALSE	0.265232974910395	FALSE
VG	NPK	B73	pht1;6	0.714285714285714	1.01251337840833	TAG.60.5	FALSE	0.79484425349087	FALSE
VG	NPK	B73	pht1;6	0.261904761904762	-1.01407184634355	TAG.54.0	FALSE	0.380018674136321	FALSE
VG	NPK	B73	pht1;6	0.380952380952381	1.01514888418723	TAG.56.0	FALSE	0.506982872200264	FALSE
VG	NPK	B73	pht1;6	0.0238095238095238	1.01970802937247	PS.38.0	TRUE	0.0686456400742116	FALSE
VG	NPK	B73	pht1;6	0.0238095238095238	1.03085401678965	PS.40.2	TRUE	0.0686456400742116	FALSE
VG	NPK	B73	pht1;6	0.0952380952380952	1.05968959457302	PS.42.3	FALSE	0.162950729424718	FALSE
VG	NPK	B73	pht1;6	0.0238095238095238	1.03478093686737	SQDG.32.0	TRUE	0.0686456400742116	FALSE
VG	NPK	B73	pht1;6	0.0476190476190476	1.03722559523481	SQDG.34.3	TRUE	0.108424908424908	FALSE
VG	NPK	B73	pht1;6	0.0238095238095238	1.02743466252104	SQDG.34.2	TRUE	0.0686456400742116	FALSE
VG	NPK	B73	pht1;6	0.0275318938756296	1.03704890357635	SQDG.36.4	TRUE	0.0714863209402312	FALSE
RP	NK	B73	pht1;6	0.24025974025974	1.00970374217464	PE.36.6	FALSE	0.355978085984142	FALSE
RP	NK	B73	pht1;6	0.260658123811313	1.00792474544801	PE.36.5	FALSE	0.380018674136321	FALSE
RP	NK	B73	pht1;6	0.377642391380866	1.00631528774372	PE.36.4	FALSE	0.506982872200264	FALSE
RP	NK	B73	pht1;6	0.00432900432900433	1.04607258486211	MGDG.34.3	TRUE	0.0336237484196456	TRUE
RP	NK	B73	pht1;6	1	1.00140063755593	PC.36.6	FALSE	1	FALSE
RP	NK	B73	pht1;6	0.24025974025974	1.0100625085809	PC.36.4	FALSE	0.355978085984142	FALSE
RP	NK	B73	pht1;6	0.0649350649350649	1.01768457341975	MGDG.36.6	FALSE	0.126603934987168	FALSE
RP	NK	B73	pht1;6	0.00216450216450216	1.03044268261525	MGDG.36.5	TRUE	0.0237293570626903	TRUE
RP	NK	B73	pht1;6	0.00216450216450216	1.05372352456441	MGDG.36.4	TRUE	0.0237293570626903	TRUE
RP	NK	B73	pht1;6	0.00432900432900433	1.03264306612066	DGDG.34.3	TRUE	0.0336237484196456	TRUE
RP	NK	B73	pht1;6	0.00216450216450216	1.02754049204995	DGDG.34.2	TRUE	0.0237293570626903	TRUE
RP	NK	B73	pht1;6	0.0411255411255411	1.02429072767447	DGDG.36.6	TRUE	0.0973852813852813	FALSE
RP	NK	B73	pht1;6	0.00216450216450216	1.04517730206331	DGDG.36.4	TRUE	0.0237293570626903	TRUE
RP	NK	B73	pht1;6	0.0649350649350649	1.01219770185111	DAG.36.4	FALSE	0.126603934987168	FALSE
RP	NK	B73	pht1;6	0.17965367965368	1.0321485910032	PC.34.1	FALSE	0.27411076895613	FALSE
RP	NK	B73	pht1;6	0.00216450216450216	1.05213153868295	MGDG.34.2	TRUE	0.0237293570626903	TRUE
RP	NK	B73	pht1;6	0.00216450216450216	1.08614124093679	MGDG.36.3_1	TRUE	0.0237293570626903	TRUE
RP	NK	B73	pht1;6	0.00216450216450216	1.04646524674619	MGDG.36.2	TRUE	0.0237293570626903	TRUE
RP	NK	B73	pht1;6	0.00432900432900433	1.05214839280504	DGDG.34.1	TRUE	0.0336237484196456	TRUE
RP	NK	B73	pht1;6	0.00216450216450216	1.02373074424859	DGDG.36.2	TRUE	0.0237293570626903	TRUE
RP	NK	B73	pht1;6	0.00432900432900433	1.04950764070569	DGDG.36.1	TRUE	0.0336237484196456	TRUE
RP	NK	B73	pht1;6	0.025974025974026	-1.03305811745077	TAG.48.1	TRUE	0.0686456400742116	FALSE
RP	NK	B73	pht1;6	0.00432900432900433	-1.03364927633273	TAG.48.0	TRUE	0.0336237484196456	TRUE
RP	NK	B73	pht1;6	0.393939393939394	-1.0225461825898	TAG.50.3	FALSE	0.506982872200264	FALSE
RP	NK	B73	pht1;6	0.0649350649350649	-1.0287363565934	TAG.50.1	FALSE	0.126603934987168	FALSE
RP	NK	B73	pht1;6	0.00216450216450216	-1.0210945639145	TAG.50.0	TRUE	0.0237293570626903	TRUE
