Stage	Management	Genotype_1	Genotype_2	p_value	Fold_change	Meta
RP	NPK	B73	pht1;6	0.0411255411255411	1.02090092279924	TAG.52.2
RP	NPK	B73	pht1;6	0.17965367965368	1.01705158860299	TAG.52.1
RP	NPK	B73	pht1;6	0.809854878604907	-1.0035080643694	TAG.52.0
RP	NPK	B73	pht1;6	0.0930735930735931	1.02826008097598	TAG.54.9
RP	NPK	B73	pht1;6	0.00216450216450216	1.03857900169362	TAG.54.8
RP	NPK	B73	pht1;6	0.00216450216450216	1.04350965756908	TAG.54.5
RP	NPK	B73	pht1;6	0.0193733848500302	1.02630336980689	TAG.54.4
RP	NPK	B73	pht1;6	0.00812704263106845	1.02292602864999	TAG.54.3
RP	NPK	B73	pht1;6	0.484848484848485	1.01368770831411	TAG.56.7
RP	NPK	B73	pht1;6	0.00865800865800866	-1.02530712217564	TAG.56.3
RP	NPK	B73	pht1;6	0.0303479417395604	-1.01852798187654	TAG.56.2
RP	NPK	B73	pht1;6	0.0411255411255411	1.02668329426167	TAG.60.5
RP	NPK	B73	pht1;6	0.00499812476508246	1.01804239904506	TAG.54.0
RP	NPK	B73	pht1;6	0.00432900432900433	1.01793317511109	TAG.56.0
RP	NPK	B73	pht1;6	0.132034632034632	1.04286945592608	PS.38.0
RP	NPK	B73	pht1;6	0.0411255411255411	1.03284128934975	PS.40.2
RP	NPK	B73	pht1;6	0.00865800865800866	1.03036458889339	PS.42.3
RP	NPK	B73	pht1;6	0.00216450216450216	1.05632089155505	SQDG.32.0
RP	NPK	B73	pht1;6	0.00216450216450216	1.06845364453571	SQDG.34.3
RP	NPK	B73	pht1;6	0.00499812476508246	1.05772353912749	SQDG.34.2
RP	NPK	B73	pht1;6	0.00216450216450216	1.05061262248021	SQDG.36.4
