Kingdom	Phylum	Class	Order	Family	Genus
ASV_262	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
ASV_263	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces
ASV_264	Bacteria	Chloroflexi	Thermomicrobia	NA	NA	NA
ASV_265	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium
ASV_266	Bacteria	Chloroflexi	NA	NA	NA	NA
ASV_267	Bacteria	NA	NA	NA	NA	NA
ASV_268	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
ASV_269	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA
ASV_270	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Actinoplanes
ASV_271	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_incertae_sedis	Rhizomicrobium	NA
ASV_272	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Methylotenera
